;No;Tweet;Relevant/irrelevant;Sentiment;Intensity;Attitude;Link
1480;1488;"At UNHCR #ExCom70: ""We are closer to ending #statelessness then ever before,"" said @RefugeesChief. The EU is working closely w @Refugees & partners via the European Platform of Statelessness, helping 600K stateless persons in Europe #IBelong ➡https://t.co/9ewiFv9qT2 https://t.co/b7FDWOu3qG
";;positive;medium;sharing;http://twitter.com/mswarriorLMS/statuses/1181154076421054469
1481;1489;"Attending the 70th session of the #UNHCR Executive Committee's Opening this morning at the @UNGeneva. Interesting discussion during the high level segment on statelessness #ExCom #IBelong #Statelessness @AminaJMohammed @refugees Cate Blanchett @OxanaDomenti https://t.co/fzHqrhGQKR
";;positive;medium;sharing;http://twitter.com/xunaed/statuses/1180752473494941697
1482;1490;Austrian Foreign Minister Alexander Schallenberg visiting 3 Nobel Peace Price winners on a single day in Geneva: @ICRC (International Committee of the Red Cross), the UN High Commissioner for @Refugees and @nuclearban (International Campaigns to Abolish Nuclear Weapons). https://t.co/rlaOtJ9ZsN;;positive;low;liking;http://twitter.com/UNHCR_Kenya/statuses/1181107270756659201
1483;1491;AWAKE AT NIGHT The Path of Compassion by Cate Blanchett | Interviewed by @melissarfleming @Refugees https://t.co/2R9Cfnya38;;neutral;low;sharing;http://twitter.com/observatoryihr/statuses/1172574618311372801
1484;1492;"'Bigger, broader' vision needed to tackle forced displacement – UN refugee chief: https://t.co/TZHUbBuzha via @refugees
";;positive;medium;sharing;http://twitter.com/avgerinosx/statuses/1181188566103273473
1485;1493;"Both disturbing and heartbreaking. No #children should suffer like this. #Greece and the #EU need solutions fast, from urgently improving conditions at #Moria to working out medium-term strategy for the #refugees. @Refugees @Oxfam https://t.co/3uXFnSQiTi
";;neutral;medium;sharing;http://twitter.com/BorderKindness/statuses/1173043586666942465
1486;1494;Bringing together Uganda's Nutrition actors @WHO for coordinated action while sharing experiences @Refugees and Networking @UNICEF @USAIDAfrica @IBFANA;;neutral;low;liking;http://twitter.com/unwomenuganda/statuses/1172925344820674562
1487;1495;"British TV presenter @itsanitarani has taken over our UNHCR Instagram account. ➡️ Visit our @Refugees IG story to see interviews with #NansenAward and #iBelong stars. Thank you Anita! 🙌📱https://t.co/SrnSpfOuRa https://t.co/zpsmsoCk0a
";;positive;medium;sharing;http://twitter.com/HoornickMichiel/statuses/1181145859108605952
1488;1496;"British TV presenter @itsanitarani has taken over the UNHCR Instagram account. Head to the @Refugees IG story to see her interviews with #NansenAward / #iBelong stars. Thank you Anita! 🙌📱♥️ https://t.co/wAZLeuFTyD https://t.co/EhWknNnVll
";;positive;medium;sharing;http://twitter.com/RwandaEmergency/statuses/1181131660517085184
1489;1497;By the way Dara shakran is the best camp in erbil, UNHCR prepared every house for syrain refugees before they arrive, very organized. Bless @Refugees;;positive;medium;liking;http://twitter.com/dyutisen7/statuses/1172791135112052740
1490;1498;"Celebrating our friends at @AFRIpads today! 🥳 ➡️biggest rollout of reusable pads EVER 🤝partnering with @Refugees to distribute to 150K folks 🧰creating work for 150 Ugandans 👩‍🎓cutting school absenteeism for girls in half
";;positive;medium;liking;http://twitter.com/AHHussains/statuses/1173019309305516032
1491;1499;"Co-director @Amal: ""Although the problems [of statelessness] are immense, we have the tools to solve it in our disposal"" Civil Society Side #Event @UNGeneva High Level Segment on #statelessness @Refugees #IBelong https://t.co/nyai4WIvc8
";;positive;medium;sharing;http://twitter.com/PnaandaPenda/statuses/1181148502212202496
1492;1500;"Congratulations Azizbek Ashurov, on your selection as the 2019 winner of the UN Refugee Agency’s Nansen Refugee Award. Well deserved: https://t.co/xddXIbEkmC @refugees https://t.co/VB7oU87YOZ
";;positive;medium;liking;http://twitter.com/peacoats/statuses/1181271977715068931
1493;1501;"Congratulations to our student Nijam Uddin who has been invited to tonight's @Refugees #NansenAwards in Geneva for his work with the @BritishRohingya Community
";;positive;medium;sharing;http://twitter.com/DrAramHasan/statuses/1181127783285772288
1494;1502;"Continued and growing statelessness is an enormous challenge for humanity. But the optimist in me tries to see the upside: when given an identity, a sense of belonging, people will be able to fulfil their true potential https://t.co/R5gRApwGNK #IBelong @Refugees https://t.co/eOlZGydmsS
";;positive;medium;liking;http://twitter.com/VentevogelPeter/statuses/1181091672911949830
1495;1503;Day 140th request #UNHCR @Refugees @UNHCRIndo #IOM @UNmigration @IOMIndonesia office Makassar @hrw https://t.co/1ShWLAzBVD;;neutral;low;disliking;http://twitter.com/SybellaWilkes/statuses/1181162014074396672
1496;1504;Dear #Iranian refugees in #Malaysia, If you have the feeling that something is wrong, don't be afraid to speak up. #IranianRefugeesInMalaysia escaped persecution & other #HumanRights violations in #Iran. Dear world,Please help #Resettlement4Iranian @Refugees #UN #UNHCR #Refugees https://t.co/ZYdbsA4NJD;;negative;medium;action-based;http://twitter.com/institute_si/statuses/1181142999625015296
1497;1505;Dear #Twitter world,We are #IranianRefugeesInTurkey, we escaped persecution and other #HumanRights violations in #Iran. Please help us 🙏 @Refugees #Resettlement4Iranian @Refugees #Refugees #UNHCR @UNHCRTurkey 🏳 https://t.co/MTAAWAOljX;;negative;medium;helpless;http://twitter.com/DengDYai/statuses/1181255911387602944
1498;1506;"Dear world's leaders, we locked up in Indonesia 4 more than 7 years plz HELP us. @jacindaardern @realDonaldTrump @billshortenmp @JustinTrudeau @TheJusticeDept @jokowi @UNHCRIndo @Refugees @rac_canberra @AustralianLabor @hrw #HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES
";;negative;high;helpless;http://twitter.com/richardbranson/statuses/1181289367131705344
1499;1507;"Dear world's leaders, we locked up in Indonesia 4 more than 7 years plz HELP us. @jacindaardern @realDonaldTrump @billshortenmp @JustinTrudeau @TheJusticeDept @jokowi @UNHCRIndo @Refugees @rac_canberra @AustralianLabor @hrw #HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES https://t.co/6AnDHeI2GF
";;positive;high;helpless;http://twitter.com/nijam_eng/statuses/1181117014875807744
1500;1508;"Dear world's leaders, we locked up in Indonesia 4 more than 7 years plz HELP us. @jacindaardern @realDonaldTrump @billshortenmp @JustinTrudeau @TheJusticeDept @jokowi @UNHCRIndo @Refugees @rac_canberra @AustralianLabor @hrw #HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES
";;positive;high;helpless;http://twitter.com/ali_shafae/statuses/1181195607014170627
1501;1509;"Dear world's leaders, we locked up in Indonesia 4 more than 7 years plz HELP us. @jacindaardern @realDonaldTrump @billshortenmp @JustinTrudeau @TheJusticeDept @jokowi @UNHCRIndo @Refugees @rac_canberra @AustralianLabor @hrw #HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES https://t.co/fgMWi3Oles
";;positive;high;helpless;http://twitter.com/institute_si/statuses/1181128721039798272
1502;1510;"Dear world's leaders, we locked up in Indonesia 4 more than 7 years plz HELP us. @jacindaardern @realDonaldTrump @billshortenmp @JustinTrudeau @TheJusticeDept @jokowi @UNHCRIndo @Refugees @rac_canberra @AustralianLabor @hrw #HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES https://t.co/4EJPrZGg8C
";;positive;high;helpless;http://twitter.com/100KIT/statuses/1181193006671650818
1503;1511;"Dear world's leaders, we locked up in Indonesia 4 more than 7 years plz HELP us. @jacindaardern @realDonaldTrump @billshortenmp @JustinTrudeau @TheJusticeDept @jokowi @UNHCRIndo @Refugees @rac_canberra @AustralianLabor @hrw #HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES
";;positive;high;helpless;http://twitter.com/MarloesWestover/statuses/1145423567359807488
1504;1512;"Deportations to North #CentralAmerica have increased this year. Nearly half to #Honduras @refugees is in each of the countries to identify those who might be at risk if returned to their communities of origin + ensure they receive protection https://t.co/P5qiMFE0V8 https://t.co/7STeWyADno
";;neutral;medium;liking;http://twitter.com/PMRENE/statuses/1181202991384317952
1505;1513;"Despite refugees planting churches, starting businesses, and being good neighbors we are closing our doors to them. 18,000 is the lowest refugee ceiling ever in a time of the greatest need. #blackout4refugees https://t.co/d4rZU2sk9R @WorldRelief @Refugees @POTUS @HIASrefugees
";;positive;medium;liking;http://twitter.com/EcolintCda/statuses/1181234980460072961
1506;1514;Discussing work and livelihood to improve lives of refugees #Refugeeforum workshop in Copenhagen @DRC_dk @UNHCRPartners @Refugees https://t.co/mxCmUBaCKJ;;neutral;low;sharing;http://twitter.com/michellemanks/statuses/1145625924190310400
1507;1515;"Discussion on how #diaspora & #refugee in Middle East can support communities back home. #RefugeeForum workshop in Istanbul @DRC_dk @DRC_MiddleEast @Refugees @AnnalauraSacco https://t.co/xGdYYyGaXP
";;neutral;low;sharing;http://twitter.com/CRSA_Georgia/statuses/1100828838416867328
1508;1516;"DK congratulates Azizbek Ashurov this year’s winner of the #NansenAward for his efforts to end statelessness https://t.co/Y5ktbV9KQu @Refugees #ExCom #WithRefugees #endstatelessness #UNHCR #IBelong https://t.co/CGUkMzu5JI
";;positive;medium;liking;http://twitter.com/HovigE/statuses/1181142315324362752
1509;1517;"During 60 days of constant work, @SYRedCrescent's #volunteers managed to distribute sheltering materials aimed to help enhance returnees' stability, for 186 families with the support of @Refugees. https://t.co/2Fxo5erKeR
";;positive;medium;liking;http://twitter.com/LtGva/statuses/1181220257198944257
1510;1518;"DYK the @minefreeworld network was created in 1992 partly in response to the horrific impact of #Landmines on #refugee communities? We're committed to #FinishtheJob of ending mine casualties. #ExCom2019 @Refugees #MineFree2025 https://t.co/EepEsY5HtL https://t.co/HLVqKZ7xAm
";;positive;medium;liking;http://twitter.com/EmmaBatha/statuses/1181137120653651968
1511;1519;"Each of us has the right to say #IBelong. (My grandfather came to England before WW1 but was stateless, all his life.) I'm proud to support UNHCR as they continue to fight for the rights of stateless people and @refugees around the world. https://t.co/w1LvCZ1smJ
";;positive;medium;liking;http://twitter.com/itsanitarani/statuses/1181173465480679425
1512;1520;Education is crucial to the self-reliance of refugees #RefugeeForum workshop @DRC_dk @UNHCRPartners @Refugees https://t.co/uIpLhMl4Ue;;neutral;low;sharing;http://twitter.com/VentevogelPeter/statuses/1181151518151630849
1513;1521;"E-Learning and multimedia technology for mathematics and basic health education Nakivale Refugee camp, Uganda @mmberhe @Dr_Angella_M @BangumyaElly @Refugees @UNHumanRights @Spidercenter https://t.co/5cdMLNSryA
";;neutral;medium;action-based;http://twitter.com/Hopefocus/statuses/1181083709874814978
1514;1522;"E-learning Project Exhibition and student show casing, happening now at Nakivale S.S. Funded by @Spidercenter . we appreciate the support. @Dr_Angella_M @mmberhe @BangumyaElly @Refugees @UNHCRuganda https://t.co/oSjVEWyq4Q
";;neutral;medium;action-based;http://twitter.com/Carry_theFuture/statuses/1181195629189566465
1515;1523;"Enhancing the teaching and learning of Mathematics and Basic Health Education through E-Learning. @Dr_Angella_M @BangumyaElly @mmberhe @Spidercenter @Refugees @UNHCRuganda https://t.co/RSBFNSekGW
";;neutral;medium;action-based;http://twitter.com/naderNakib/statuses/1181287133593489408
1516;1524;"Enjoying listening Excom panel. @Refugees Wish I could type faster catch the nuggets pearls of wisdom. @AminaJMohammed story of her children of mixed heritage and questions of identity strikes a chord with me and the recent discussion I cohosted on mixed heritage and identity
";;positive;medium;liking;http://twitter.com/AOAV/statuses/1181179385073852416
1517;1525;"Every person has the right to say #IBelong. Proud to support UNHCR as they continue to fight for the rights of stateless people and @Refugees around the world. https://t.co/E9N6KzbBSh
";;positive;high;liking;http://twitter.com/institute_si/statuses/1181183963630571520
1518;1526;"Excited to honor this year’s Nansen Refugee Award winner, Kyrgyz’ human rights lawyer, Azizbak Ashurov, for his exceptional work to #EndStatelessness in connection with the UNHCR ExCom opening day High-Level Segment on #Statelessness @Refugees #IBelong https://t.co/S21ANo4qo4
";;positive;high;liking;http://twitter.com/sheikhsaraf/statuses/1145289137425145856
1519;1527;"Fear of statelessness in Assam should end: UNHCR #Assam #UNHCR #Statelessness #Rohingya #Bangladesh @Refugees @UNinIndia https://t.co/GLHB7ONNjV
";;positive;medium;action-based;http://twitter.com/PakUNgeneva/statuses/1181278884945260544
1520;1528;Fighting #hunger + #poverty can be done in different forms. In #Panama, Colombian Heydy grows her own 🥦🌽🍅🥒 TKS to a project supported by @Refugees. She also uses her produce to make food to sell + shares with her host community. #RefugeeCompact #FoodSecurity https://t.co/aknOp4TzkM;;positive;medium;liking;http://twitter.com/appcsocialmedia/statuses/1181125786075648000
1521;1529;Filippo Grandi @Refugees needs to respond ASAP - UNHCR accused over abuse of LGBT refugees in Kenya https://t.co/37DxFNdPes;;negative;high;disliking;http://twitter.com/CambridgeMakeda/statuses/1181147287235506178
1522;1530;"Film star #CateBlanchett backs #Ibelong campaign to end plight of 10 million #stateless people with no country to call home @Refugees @MahaMamo https://t.co/2SOXMk2sad
";;positive;medium;sharing;http://twitter.com/WTumuhimbise/statuses/1181203748779122693
1523;1531;From agriculture to microfinance, a new law is providing refugees in Ethiopia with more opportunities -- and helping host communities prosper at the same time. @Refugees is working to support policy which ensures equal opportunity for all people. https://t.co/FXtX9Qg8zv https://t.co/QYFGmirhk8;;neutral;low;sharing;http://twitter.com/PnaandaPenda/statuses/1181141882556108800
1524;1532;Geneva convention article.... Is it for burnt kashmiris also ... @UNHumanRights @UN @PMOIndia @MirwaizKashmir @MehboobaMufti @OmarAbdullah @RT_Erdogan @ImranKhanPTI @shahfaesal @Shehla_Rashid @UKParliament @UKLabour @IocUnesco @ChinaDaily @GreaterKashmir @UN_Women @Refugees ..;;negative;medium;disliking;http://twitter.com/k8_wig/statuses/1181156320650678272
1525;1533;"Give hope to they legal @Rohingya @Refugees refugees who stuck in the host countries to reach resettlement countries easily, then you will not find illegal migrants neither in the sea nor in the desert.@ScottMorrisonMP @PeterDutton_MP @AusCRSI @OzRefugeeCounc @JRS_Aus @UNHCRCanad
";;neutral;high;helpless;http://twitter.com/15billionebp/statuses/1181197589460520960
1526;1534;"Given widespread and gross human rights violations on the border, where is UNHCR @Refugees? ""Off the record, it is just very tricky for them. The US is their number one funder."" -@HIASrefugees Sue Kenney-Pfalzer #immconf
";;neutral;medium;disliking;http://twitter.com/ali_shafae/statuses/1181193885449515008
1527;1535;"Glad to welcome and meet with Deputy Secretary-General @AminaJMohammed in @UNGeneva on the occasion of her participation to the 70th session of the session of the @Refugees Executive Committee. https://t.co/QbxWR8MBhz
";;positive;medium;sharing;http://twitter.com/richardbranson/statuses/1181213872386183170
1528;1536;"Glimpses from the #Nansenrefugeeaward ceremony honouring every day folk who work diligently to #EndStatelessness and help displaced communities settle in among many other things. @Refugees #WithRefugees #LettersofLove https://t.co/DJGK1AIz2F
";;positive;medium;liking;http://twitter.com/one_minute___/statuses/1100807157040189443
1529;1537;"Global statelessness in numbers: Here are the #Top5 reported stateless populations. #SOStatelessness #Excom @Refugees @institute_si https://t.co/XOwAMl28Dz
";;positive;medium;sharing;http://twitter.com/Tabende06/statuses/1100806087450808326
1530;1538;"Good stuff here from our manager helping to raise funds for the @Refugees https://t.co/r5iTmNGuNx
";;positive;medium;liking;http://twitter.com/UNHCR_Cent_Asia/statuses/1181122628456726529
1531;1539;"Great to see our Goodwill Ambassador Cate Blanchett and @itsanitarani inspiring us about ending #statelessness, last time we had met @ZaatariCamp in Jordan #solutions #ibelong @Refugees https://t.co/QeAwKBRTUE
";;positive;medium;liking;http://twitter.com/RwandaEmergency/statuses/1181302397412544513
1532;1540;"Half of the world’s 26 million @refugees are hosted by just 6 countries: 🇹🇷 #Turkey 🇯🇴 #Jordan West Bank and Gaza 🇱🇧 #Lebanon 🇵🇰 #Pakistan 🇺🇬 #Uganda by: #WorldBank https://t.co/IIG8HKouDO
";;neutral;medium;sharing;http://twitter.com/Mgutierrezalv/statuses/1181102311264927749
1533;1541;"Hanna added that NE #Syria also includes #IDPs from different governorates and regions of Syria, as well as #Iraqi @Refugees, saying: ""The Turkish invasion will put many lives at risk."" #Peace4NESyria @UN @NPA_SY
";;neutral;high;helpless;http://twitter.com/globaleducation/statuses/1181162251002109954
1534;1542;"Happening now at Nakivale S.S. Implemented in 5 primary schools and 1 secondary school supported by @Spidercenter implemented by Mbarara University from 2017-2019. Thanks @mmberhe @Refugees @UNHCRuganda @BangumyaElly @Dr_Angella_M https://t.co/aBXa5f5S6A
";;positive;medium;liking;http://twitter.com/Michaelxavierha/statuses/1181186407081099269
1535;1543;Happening now: A beautiful song dance performance by refugee women to welcome the DED. A joyous mood set for a productive visit to Maaji Community Centre of Maaji II Refugee Settlement. @UN_Women @unwomenafrica @abhatiaunwomen @Refugeelawproj @Refugees @UNinUganda @MHouinato https://t.co/MnfOa6VYQI;;positive;medium;liking;http://twitter.com/geopsychiatry/statuses/1181284264173850626
1536;1544;"Happening now: opening session of UNHCR’s @Refugees 70th #Excom focusing on statelessness, refugee protection & belonging. #SOStatelessness #iBelong Watch live 📱: https://t.co/PSRpgblNgP
";;neutral;medium;sharing;http://twitter.com/lettersoflove18/statuses/1181333100531458048
1537;1545;Happy Birthday to @MIYAVI_OFFICIAL! The artist who holds such a special place in my fangirl heart. <3 Please continue to make inspiring music and spread love and hope with @Refugees around the globe. https://t.co/U28dc2Kl7Y;;positive;high;liking;http://twitter.com/HovigE/statuses/1181280731429036032
1538;1546;"Happy to join @RefugeesChief tonight in congratulating Azizbek Ashurov, winner of the 2019 @Refugees #NansenAward. Azizbek, the lawyer on horseback, has worked tirelessly to help #EndStatelessness in #Kyrgyzstan by assisting 10,000 people acquire citizenship. #IBelong https://t.co/0hnqQPE1rk
";;positive;high;liking;http://twitter.com/Pinksixty_News/statuses/1100879388634218496
1539;1547;Have you ever been to #Kakuma, You will be glad to meet a passionate @Refugees head of UNHCR Sub Office in Kakuma Tayyar Sukru Cansizoglu, Always Fully committed to ensure refugees + host comnunities integration plan works in #Turkana through #KISEDP @AusHCKenya @GovernorNanok https://t.co/z0Y82LVNjZ;;positive;medium;liking;http://twitter.com/IFreijsen/statuses/1181134998516244481
1540;1548;"Having a nationality is a fundamental human right. Yet, millions of people around the world are stateless. As a result, they often are not allowed to go to school, see a doctor or get a job. @Refugees is helping: https://t.co/Nsc5mXv9oj #IBelong https://t.co/FoDJtY4WaB
";;positive;medium;liking;http://twitter.com/Ayy_tul/statuses/1100819321725566981
1541;1549;Hello World . Please hear #TheVoice⁠ ⁠ of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019⁠ ⁠ #Resettlement @Refugees @UNHCRTurkey https://t.co/M5n6zqX9fj🙋‍♀️ https://t.co/uY8VcIe4gZ % https://t.co/6F6M33yb5X;;negative;medium;helpless;http://twitter.com/Charperjantuah/statuses/1181124797604012033
1542;1550;Hello World . Please hear #TheVoice⁠ ⁠ of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019⁠ ⁠ #Resettlement @Refugees @UNHCRTurkey https://t.co/tSeteKEv7i🙋‍♀️ https://t.co/3MX2LJNUXX https://t.co/5Fpp5kY32M;;negative;medium;helpless;http://twitter.com/awacoulibaly4/statuses/1172568834676539392
1543;1551;Hello World . Please hear #TheVoice⁠ ⁠ of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019⁠ ⁠ #Resettlement @Refugees @UNHCRTurkey 🆘;;negative;medium;helpless;http://twitter.com/drewerydyke/statuses/1181086237085589504
1544;1552;Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey;;neutral;low;helpless;http://twitter.com/3ra8ia87/statuses/1181394504772796417
1545;1553;Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey #AusVisaXB4IranianRefugeesTR https://t.co/4PHFDLEVv1;;neutral;low;helpless;http://twitter.com/tackyiraqi/statuses/1181080379475628032
1546;1554;Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey https://t.co/2W0RxMrASf;;neutral;low;helpless;http://twitter.com/Abdulra88928841/statuses/1181148316945522690
1547;1555;Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey https://t.co/bI5uWaGitM https://t.co/CnFARHuwqt;;negative;medium;helpless;http://twitter.com/SpindlerWilliam/statuses/1181215137908310016
1548;1556;Hello World . Please hear #TheVoice of our children. They need the attention of international community.🌿 #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey https://t.co/8uv4UuABLx https://t.co/NepQfKstWF https://t.co/MY3bs3qmlp;;negative;medium;helpless;http://twitter.com/LHR_SA/statuses/1181230024952823808
1549;1557;"Hey @Refugees Israel is going to kill the Syrian Kurds unless they receive immediate armed protection (Just roll with it guys I know what I’m doing.)
";;negative;medium;helpless;http://twitter.com/52mLili/statuses/1172608498800168961
1550;1558;"High Commissioner @Refugees Filippo Grandi @RefugeesChief thanked #Kyrgyzstan for its work to #EndStatelessness resulting in Kyrgyzstan to become the first country in the world resolving all known cases of #statelessness #IBelong #ExCom2019 https://t.co/Z0VUfNyxUM
";;positive;medium;sharing;http://twitter.com/Rossone30988330/statuses/1172593365734608896
1551;1559;"High school mentors are teaching their EL student partners fun & exciting lessons in the Partnership for New Americans class! 1st lesson: Yoga from #homecomingqueen, Chloe Bry! #Bruinpride #yogalife #mentoring @NDUnited @NDDPI @FSHbruins @FPSFoundation @FargoNDSchools @Refugees https://t.co/Of1783nfpf
";;positive;medium;liking;http://twitter.com/srbaloch44/statuses/1100821011858161665
1552;1560;HOMELESS @Refugees #RefugeesWelcome #refugees #unhcr #unhcrmalaysia @UNHCRCanada #StepwithRefugees https://t.co/96VPWIR5AV;;negative;medium;helpless;http://twitter.com/AmbazoniaM/statuses/1181126888741380096
1553;1561;How can we empower refugees through technology? Learn more by visiting https://t.co/voTmgsDMYa cc: @carnegiecouncil @accessnow @Techfugees @Refugees #WRCCMR https://t.co/CDPsHin4hV;;neutral;low;sharing;http://twitter.com/PTInottingham/statuses/1181134450027048960
1554;1562;How do international organizations bring about innovation? Does it always mean technological innovation? Join us for a #CERNOpenDays panel discussion in the CERN auditorium at 10:45 with Nan Buzard @ICRC, Christopher Earney @Refugees, Charles Randolph @WIPO, Giovanni Anelli @CERN https://t.co/ERQbYZ7Jal;;neutral;low;sharing;http://twitter.com/Muhamma60073478/statuses/1181397243842183168
1555;1563;How Trump’s ‘weaponized’ use of foreign aid is backfiring. In Venezuela, some aid groups are asking U.S. officials if they can strip legally required U.S. branding from assistance sent to the country. @nahaltoosi @WritesRights @amnestyUSA @Refugees https://t.co/xefLavNeK9;;negative;medium;unrelated;http://twitter.com/axy3d/statuses/1181176799348346887
1556;1564;"I always say my most valuable resources when researching for #BoneSparrow were the pictures drawn by refugee children. This powerful book gives readers an unparalleled insight into the thoughts and experiences of those fleeing their homes. @Refugees @franklinwatts @HachetteKids https://t.co/SC3fyyqKWU
";;positive;high;sharing;http://twitter.com/axy3d/statuses/1181176465293021184
1557;1565;I am refugees I am very, very tired too... @Refugees @UNNewsArabic @UNICEFpalestine @un @UNHumanRights;;negative;low;helpless;http://twitter.com/O7huD7jwX0OF7xm/statuses/1181206745269624837
1558;1566;"I hosted my most powerful panel to date @UN discussing @refugees #ibelong campaign to #endstatelessness by 2024 What a line up! The awesome Deputy Secretary General of The United Nation Amun’s Mohamed (she’s… https://t.co/VU2AZSINUF
";;positive;medium;liking;http://twitter.com/CarolineKende/statuses/1181217624270749696
1559;1567;I’m edging my country Ghana to accede to the 2 UN Convention On Statelessness because it is long over-due. Government made the commitment since 2015. We find ourselves in a list of two countries in West Africa that has NOT acceded & its not good at all. #Statelessness @Refugees;;negative;medium;disliking;http://twitter.com/YILDIZKOCAMAN/statuses/1181232820011728896
1560;1568;"Identity a #HumanRight but to change relevant legal instruments #women need to be included, says @UN Deputy Secretary-General @AminaJMohammed at @Refugees #ExCom in discussion with former #stateless #refugee on #IBelong https://t.co/4B8AI2LvW4
";;positive;medium;sharing;http://twitter.com/LGethya/statuses/1181234992023605249
1561;1569;"If #Bangladesh n #India r friends why didnt they vote on #Rohingya issue? Why #Teesta river water issue still unresolved? What kind of 'friend' does this? @PMOIndia @IndianExpress @the_hindu @htTweets @BJP4India @INCIndia @UNHCR_BGD @rohingyablogger @Refugees @UN @antonioguterres
";;neutral;low;disliking;http://twitter.com/hgufhsd1/statuses/1180789073763590146
1562;1570;"If you teach a girl to code, she will change the world @i_amthecode @refugees @RefugeesAfrica @Fathiaabdalla https://t.co/r5cj8mxgeC
";;positive;medium;sharing;http://twitter.com/haithemothman1/statuses/1181164650496434176
1563;1571;In 2017, @Refugees officially recognised statelessness. @UN Special rapporteur on Minority Issues, @fernanddev warns of increasing statelessness & the challenges of citizenship stripping in #Assam. Watch #IOHR’s interview: #SOStatelessness https://t.co/ayQENieauj https://t.co/rhkiyDfps5;;positive;medium;liking;http://twitter.com/MMohsinBanut/statuses/1181272443706597381
1564;1572;In coming weeks reported 1000s of asylum-seekers in USA to be deported 2 Mexicali & Tijuana. UNHCR @Refugees works 2 present relocation 2 other areas of Mexico & low wage jobs w American corporations @ManpowerGroup as option US DEPORTS & UN relocates cheap labor 4 multinationals;;neutral;low;sharing;http://twitter.com/mehrnoo12119846/statuses/1100831122152407040
1565;1573;"In Geneva today to attend UNHCR's High Level Segment on #Statelessness as part of ExCom, and to brief at the @EU_UNGeneva on statelessness and the right to nationality. @Refugees https://t.co/uN9tlmQaIk
";;positive;medium;sharing;http://twitter.com/VentevogelPeter/statuses/1181113556001001472
1566;1574;"In his statement opening 70th session of @Refugees #ExCom2019, the High Commissioner @RefugeesChief recognizes the generosity of Rwanda to receive &save lives of refugees&asylum seekers stranded in Libya&others dying in seas and he calls upon other countries to do the same. https://t.co/KJ4RHh5XU2
";;positive;medium;sharing;http://twitter.com/TIIcon1/statuses/1172570162005979138
1567;1575;India builds detention camps for up to 1.9m people 'stripped of citizenship' in Assam. Huge human rights crisis coming ahead. Are we seriously going to ignore this? https://t.co/WAMCLws8Ls @hrw @UNHumanRights @Refugees @BBCIndia @mygovassam #NRCassam #HumanRightsViolations;;neutral;medium;disliking;http://twitter.com/Zuhaib_Ahmed32/statuses/1145398437233516544
1568;1576;"Inspirational words from @mahamano @AminaJMohammed at the 70th session of #UNHCR Executive Committee and High Level Segment on #IBelong Campaign to End Statelessness @refugees
";;positive;medium;liking;http://twitter.com/AmbazoniaM/statuses/1181128542140211200
1569;1577;"Instead of buying Michael Owen's ridiculous book, buy this instead! Proceeds go to @Refugees. There's an interview with Stevie and David Morrissey and from what I can tell on the Amazon excerpt it looks really good. https://t.co/PLY3AirOFF
";;positive;high;liking;http://twitter.com/axy3d/statuses/1181255549058457602
1570;1578;"Interview with @KarimAlbrem In Vrij Nederland (in Dutch): a must read. Karim is a 24 year old Syrian refugee who has gone through a lot and is now a powerful advocate for psychological care for refugees and a peer counsellor. @refugees #mindthemindnow https://t.co/jCufeFa5XE
";;positive;medium;liking;http://twitter.com/aminoie/statuses/1100916967693840384
1571;1579;"Intrepid lawyer achieves quest to eradicate statelessness in Kyrgyzstan: https://t.co/KfL3WbQuJm via @refugees
";;positive;medium;sharing;http://twitter.com/MdmAbsentMinded/statuses/1181190451774181376
